source,target,value
"Venomous animal contact","Foreign body in respiratory system",4146.695
"Venomous animal contact","Fracture of patella, tibia, fibula, or ankle",7135.38
"Venomous animal contact","Open wound",571504.7
"Venomous animal contact","Contusion",195237.2
"Venomous animal contact","Injury to eyes (including foreign body eye)",27114.95
"Venomous animal contact","Burns with <20% total burned surface area",9911.867
"Venomous animal contact","Fracture of foot bone",3408.188
"Venomous animal contact","Fracture of clavicle, scapula, or humerus",4817.484
"Venomous animal contact","Fracture of hand bone",8924.77
"Venomous animal contact","Foreign body in gastrointestinal or urogenital system",2646.973
"Venomous animal contact","Crush injury",306.397
"Drowning","Open wound",33901.43
"Drowning","Minor traumatic brain injury",9326.407
"Drowning","Amputation of one lower limb",7089.754
"Drowning","Fracture of radius or ulna",11929.72
"Drowning","Amputation of one upper limb",120.841
"Drowning","Fracture of skull",303.394
"Drowning","Complications of medical treatment",16724.85
"Drowning","Amputation of both lower limbs",38.003
"Drowning","Multiple significant injuries",17758.56
"Drowning","Contusion",18107.42
"Drowning","Asphyxiation",4040.358
"Drowning","Dislocation of hip",3065.237
"Drowning","Fracture of face bone",6070.036
"Drowning","Fracture of patella, tibia, fibula, or ankle",31026.32
"Drowning","Foreign body in ear",71.337
"Drowning","Burns with <20% total burned surface area",10536.02
"Drowning","Fracture of vertebral column",5340.951
"Drowning","Foreign body in gastrointestinal or urogenital system",4834.165
"Drowning","Lower airway burns",36.386
"Drowning","Internal hemorrhage in abdomen or pelvis",8859.158
"Drowning","Environmental factors (e.g. temperature, pressure, electricity)",8882.51
"Drowning","Fracture of pelvis",9882.04
"Drowning","Foreign body in respiratory system",8925.371
"Drowning","Crush injury",2344.356
"Drowning","Dislocation of shoulder",5507.369
"Drowning","Amputation of finger (excluding thumb)",3356.339
"Drowning","Amputation of both upper limbs",39.956
"Drowning","Injury to eyes (including foreign body eye)",4685.576
"Drowning","Fracture of sternum or rib(s)",1013.495
"Drowning","Spinal cord lesion below neck level",1032.598
"Drowning","Amputation of thumb",97.874
"Drowning","Poisoning",34526.55
"Drowning","Non-fatal submersion",813266.3
"Drowning","Other injuries of muscle & tendon and other dislocations",61547.18
"Drowning","Dislocation of knee",5236.644
"Drowning","Fracture of clavicle, scapula, or humerus",45393.45
"Drowning","Severe chest Injury",2349.221
"Drowning","Fracture of neck of femur",44727.54
"Drowning","Fracture of foot bone",13394.4
"Drowning","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",1804.677
"Drowning","Spinal cord lesion at neck level",383.222
"Drowning","Moderate to severe traumatic brain injury",17928.65
"Drowning","Injured nerves",4845.155
"Drowning","Superficial injury",12778.52
"Drowning","Amputation of toe",77.693
"Drowning","Fracture of femur, other than femoral neck",14724.5
"Drowning","Fracture of hand bone",8676.626
"Falls","Severe chest Injury",169991.8
"Falls","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",16526.5
"Falls","Other injuries of muscle & tendon and other dislocations",2.02e+07
"Falls","Amputation of one lower limb",59046.28
"Falls","Multiple significant injuries",8454453
"Falls","Fracture of vertebral column",5834398
"Falls","Foreign body in ear",3751.832
"Falls","Dislocation of hip",198433.3
"Falls","Superficial injury",1.77e+07
"Falls","Fracture of femur, other than femoral neck",7729799
"Falls","Fracture of hand bone",2026436
"Falls","Amputation of both upper limbs",5386.36
"Falls","Fracture of patella, tibia, fibula, or ankle",5617831
"Falls","Dislocation of knee",91045.56
"Falls","Fracture of face bone",706173.3
"Falls","Spinal cord lesion below neck level",467146.8
"Falls","Foreign body in respiratory system",35382.93
"Falls","Fracture of foot bone",1297286
"Falls","Fracture of radius or ulna",6411416
"Falls","Fracture of neck of femur",1.65e+07
"Falls","Burns with <20% total burned surface area",180386.6
"Falls","Open wound",3.34e+07
"Falls","Crush injury",96817.91
"Falls","Environmental factors (e.g. temperature, pressure, electricity)",27100.64
"Falls","Non-fatal submersion",3277.631
"Falls","Spinal cord lesion at neck level",22139.84
"Falls","Complications of medical treatment",865685.8
"Falls","Fracture of sternum or rib(s)",1011252
"Falls","Fracture of skull",1249220
"Falls","Asphyxiation",2029.986
"Falls","Internal hemorrhage in abdomen or pelvis",420631.3
"Falls","Fracture of clavicle, scapula, or humerus",6011941
"Falls","Minor traumatic brain injury",755584.9
"Falls","Amputation of finger (excluding thumb)",41485.82
"Falls","Foreign body in gastrointestinal or urogenital system",20357.25
"Falls","Lower airway burns",1310.12
"Falls","Moderate to severe traumatic brain injury",2722105
"Falls","Dislocation of shoulder",864969.1
"Falls","Injured nerves",78318.17
"Falls","Amputation of both lower limbs",93.296
"Falls","Poisoning",328113.2
"Falls","Injury to eyes (including foreign body eye)",1771905
"Falls","Amputation of one upper limb",4480.42
"Falls","Amputation of toe",8847.762
"Falls","Contusion",1.25e+07
"Falls","Fracture of pelvis",2494050
"Falls","Amputation of thumb",9718.724
"Fire, heat, and hot substances","Fracture of patella, tibia, fibula, or ankle",92763.37
"Fire, heat, and hot substances","Poisoning",1295946
"Fire, heat, and hot substances","Asphyxiation",7433.846
"Fire, heat, and hot substances","Injury to eyes (including foreign body eye)",3929555
"Fire, heat, and hot substances","Fracture of face bone",26977.59
"Fire, heat, and hot substances","Contusion",384200.8
"Fire, heat, and hot substances","Injured nerves",10513.41
"Fire, heat, and hot substances","Amputation of toe",455.875
"Fire, heat, and hot substances","Moderate to severe traumatic brain injury",70035.98
"Fire, heat, and hot substances","Amputation of both upper limbs",180.698
"Fire, heat, and hot substances","Multiple significant injuries",5339854
"Fire, heat, and hot substances","Dislocation of hip",7973.189
"Fire, heat, and hot substances","Superficial injury",915539.8
"Fire, heat, and hot substances","Dislocation of knee",6192.788
"Fire, heat, and hot substances","Fracture of vertebral column",47219.52
"Fire, heat, and hot substances","Severe chest Injury",41258.55
"Fire, heat, and hot substances","Environmental factors (e.g. temperature, pressure, electricity)",3267389
"Fire, heat, and hot substances","Amputation of both lower limbs",47.271
"Fire, heat, and hot substances","Spinal cord lesion below neck level",239290.1
"Fire, heat, and hot substances","Dislocation of shoulder",14721.41
"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations",3.45e+07
"Fire, heat, and hot substances","Crush injury",9447.389
"Fire, heat, and hot substances","Complications of medical treatment",170142.3
"Fire, heat, and hot substances","Fracture of sternum or rib(s)",2091.726
"Fire, heat, and hot substances","Amputation of finger (excluding thumb)",16159.7
"Fire, heat, and hot substances","Fracture of skull",12180.48
"Fire, heat, and hot substances","Open wound",1697145
"Fire, heat, and hot substances","Foreign body in gastrointestinal or urogenital system",11685.72
"Fire, heat, and hot substances","Non-fatal submersion",19891.35
"Fire, heat, and hot substances","Fracture of hand bone",58641.8
"Fire, heat, and hot substances","Minor traumatic brain injury",25201.85
"Fire, heat, and hot substances","Amputation of one upper limb",347.487
"Fire, heat, and hot substances","Fracture of femur, other than femoral neck",86671.48
"Fire, heat, and hot substances","Foreign body in ear",2265.41
"Fire, heat, and hot substances","Spinal cord lesion at neck level",425.11
"Fire, heat, and hot substances","Foreign body in respiratory system",12613.24
"Fire, heat, and hot substances","Fracture of foot bone",29844.75
"Fire, heat, and hot substances","Fracture of radius or ulna",127810.8
"Fire, heat, and hot substances","Amputation of one lower limb",7700.84
"Fire, heat, and hot substances","Internal hemorrhage in abdomen or pelvis",2175985
"Fire, heat, and hot substances","Amputation of thumb",4161.773
"Fire, heat, and hot substances","Fracture of neck of femur",114873.7
"Fire, heat, and hot substances","Fracture of clavicle, scapula, or humerus",72505.38
"Fire, heat, and hot substances","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",831374.6
"Fire, heat, and hot substances","Lower airway burns",18133.86
"Fire, heat, and hot substances","Burns with <20% total burned surface area",2589052
"Fire, heat, and hot substances","Fracture of pelvis",22337.45
"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations",53161.08
"Pulmonary aspiration and foreign body in airway","Amputation of thumb",111.286
"Pulmonary aspiration and foreign body in airway","Fracture of face bone",4587.653
"Pulmonary aspiration and foreign body in airway","Non-fatal submersion",4815.678
"Pulmonary aspiration and foreign body in airway","Fracture of pelvis",2529.198
"Pulmonary aspiration and foreign body in airway","Fracture of vertebral column",6598.039
"Pulmonary aspiration and foreign body in airway","Fracture of skull",848.932
"Pulmonary aspiration and foreign body in airway","Fracture of radius or ulna",40911.25
"Pulmonary aspiration and foreign body in airway","Poisoning",98122.43
"Pulmonary aspiration and foreign body in airway","Open wound",18513.19
"Pulmonary aspiration and foreign body in airway","Fracture of patella, tibia, fibula, or ankle",9749.705
"Pulmonary aspiration and foreign body in airway","Foreign body in ear",5523.623
"Pulmonary aspiration and foreign body in airway","Crush injury",403.452
"Pulmonary aspiration and foreign body in airway","Minor traumatic brain injury",2069.067
"Pulmonary aspiration and foreign body in airway","Fracture of femur, other than femoral neck",18007.74
"Pulmonary aspiration and foreign body in airway","Dislocation of hip",430.668
"Pulmonary aspiration and foreign body in airway","Foreign body in respiratory system",7904162
"Pulmonary aspiration and foreign body in airway","Fracture of neck of femur",33025.72
"Pulmonary aspiration and foreign body in airway","Superficial injury",6369.433
"Pulmonary aspiration and foreign body in airway","Multiple significant injuries",5680.024
"Pulmonary aspiration and foreign body in airway","Burns with <20% total burned surface area",2981.58
"Pulmonary aspiration and foreign body in airway","Moderate to severe traumatic brain injury",4220.244
"Pulmonary aspiration and foreign body in airway","Complications of medical treatment",43523.34
"Pulmonary aspiration and foreign body in airway","Dislocation of knee",6933.794
"Pulmonary aspiration and foreign body in airway","Lower airway burns",105.448
"Pulmonary aspiration and foreign body in airway","Asphyxiation",17936.84
"Pulmonary aspiration and foreign body in airway","Severe chest Injury",15286.07
"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder",6594.917
"Pulmonary aspiration and foreign body in airway","Internal hemorrhage in abdomen or pelvis",11214.12
"Pulmonary aspiration and foreign body in airway","Foreign body in gastrointestinal or urogenital system",1110468
"Pulmonary aspiration and foreign body in airway","Environmental factors (e.g. temperature, pressure, electricity)",2529.891
"Pulmonary aspiration and foreign body in airway","Spinal cord lesion below neck level",48.993
"Pulmonary aspiration and foreign body in airway","Injury to eyes (including foreign body eye)",11400
"Pulmonary aspiration and foreign body in airway","Fracture of foot bone",6294.568
"Pulmonary aspiration and foreign body in airway","Contusion",1775.816
"Pulmonary aspiration and foreign body in airway","Injured nerves",5049.135
"Pulmonary aspiration and foreign body in airway","Fracture of clavicle, scapula, or humerus",6136.326
"Pulmonary aspiration and foreign body in airway","Amputation of finger (excluding thumb)",2926.966
"Pulmonary aspiration and foreign body in airway","Fracture of hand bone",8396.402
"Pulmonary aspiration and foreign body in airway","Amputation of both upper limbs",42.868
"Pulmonary aspiration and foreign body in airway","Fracture of sternum or rib(s)",2317.476
"Pulmonary aspiration and foreign body in airway","Spinal cord lesion at neck level",245.217
"Pulmonary aspiration and foreign body in airway","Amputation of one lower limb",1867.607
"Pulmonary aspiration and foreign body in airway","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",1348.732
"Pulmonary aspiration and foreign body in airway","Amputation of toe",164.339
"Pulmonary aspiration and foreign body in airway","Amputation of one upper limb",25.41
"Foreign body in eyes","Minor traumatic brain injury",644.756
"Foreign body in eyes","Dislocation of shoulder",28.973
"Foreign body in eyes","Complications of medical treatment",134177.9
"Foreign body in eyes","Fracture of vertebral column",473.207
"Foreign body in eyes","Fracture of pelvis",422.408
"Foreign body in eyes","Multiple significant injuries",2976.092
"Foreign body in eyes","Fracture of hand bone",933.24
"Foreign body in eyes","Amputation of finger (excluding thumb)",17.339
"Foreign body in eyes","Injury to eyes (including foreign body eye)",3648689
"Foreign body in eyes","Fracture of femur, other than femoral neck",485.898
"Foreign body in eyes","Foreign body in ear",7777.728
"Foreign body in eyes","Open wound",31741.76
"Foreign body in eyes","Superficial injury",5123.433
"Foreign body in eyes","Spinal cord lesion below neck level",317.947
"Foreign body in eyes","Contusion",4642.001
"Foreign body in eyes","Fracture of sternum or rib(s)",104.195
"Foreign body in eyes","Fracture of clavicle, scapula, or humerus",129.731
"Foreign body in eyes","Fracture of skull",3227.728
"Foreign body in eyes","Environmental factors (e.g. temperature, pressure, electricity)",4176.375
"Foreign body in eyes","Amputation of both upper limbs",9.338
"Foreign body in eyes","Fracture of face bone",207.655
"Foreign body in eyes","Fracture of neck of femur",778.75
"Foreign body in eyes","Crush injury",2533.86
"Foreign body in eyes","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",184.856
"Foreign body in eyes","Lower airway burns",9.261001
"Foreign body in eyes","Amputation of one lower limb",27.272
"Foreign body in eyes","Dislocation of knee",705.614
"Foreign body in eyes","Internal hemorrhage in abdomen or pelvis",34156.73
"Foreign body in eyes","Spinal cord lesion at neck level",27.888
"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations",4614.148
"Foreign body in eyes","Fracture of radius or ulna",883.533
"Foreign body in eyes","Injured nerves",3008.166
"Foreign body in eyes","Severe chest Injury",132.979
"Foreign body in eyes","Fracture of foot bone",414.953
"Foreign body in eyes","Moderate to severe traumatic brain injury",5830.566
"Foreign body in eyes","Foreign body in gastrointestinal or urogenital system",105984.4
"Foreign body in eyes","Foreign body in respiratory system",5239.073
"Foreign body in eyes","Poisoning",3984.729
"Foreign body in eyes","Burns with <20% total burned surface area",1451.24
"Foreign body in eyes","Dislocation of hip",25.942
"Foreign body in eyes","Fracture of patella, tibia, fibula, or ankle",961.94
"Foreign body in other body part","Internal hemorrhage in abdomen or pelvis",301937.8
"Foreign body in other body part","Fracture of vertebral column",4866.526
"Foreign body in other body part","Contusion",401342.3
"Foreign body in other body part","Crush injury",5563.383
"Foreign body in other body part","Dislocation of knee",226.415
"Foreign body in other body part","Superficial injury",171234.1
"Foreign body in other body part","Foreign body in gastrointestinal or urogenital system",2.12e+07
"Foreign body in other body part","Other injuries of muscle & tendon and other dislocations",1136620
"Foreign body in other body part","Injury to eyes (including foreign body eye)",112692.3
"Foreign body in other body part","Fracture of skull",7114.682
"Foreign body in other body part","Amputation of one lower limb",1097.845
"Foreign body in other body part","Fracture of femur, other than femoral neck",5409.621
"Foreign body in other body part","Fracture of neck of femur",44517.11
"Foreign body in other body part","Moderate to severe traumatic brain injury",3272.787
"Foreign body in other body part","Non-fatal submersion",1183.343
"Foreign body in other body part","Amputation of finger (excluding thumb)",8625.239
"Foreign body in other body part","Minor traumatic brain injury",4237.198
"Foreign body in other body part","Fracture of sternum or rib(s)",199.269
"Foreign body in other body part","Burns with <20% total burned surface area",9880.569
"Foreign body in other body part","Severe chest Injury",14971.16
"Foreign body in other body part","Complications of medical treatment",73446.73
"Foreign body in other body part","Fracture of patella, tibia, fibula, or ankle",8996.926
"Foreign body in other body part","Multiple significant injuries",37212.49
"Foreign body in other body part","Amputation of thumb",21934.88
"Foreign body in other body part","Foreign body in respiratory system",239411.2
"Foreign body in other body part","Poisoning",856353.3
"Foreign body in other body part","Amputation of both upper limbs",2471.273
"Foreign body in other body part","Spinal cord lesion at neck level",36.694
"Foreign body in other body part","Spinal cord lesion below neck level",169.057
"Foreign body in other body part","Foreign body in ear",6528183
"Foreign body in other body part","Dislocation of shoulder",180.404
"Foreign body in other body part","Fracture of pelvis",1102.836
"Foreign body in other body part","Amputation of toe",1440.446
"Foreign body in other body part","Lower airway burns",551.53
"Foreign body in other body part","Environmental factors (e.g. temperature, pressure, electricity)",4288.452
"Foreign body in other body part","Open wound",1.08e+07
"Foreign body in other body part","Injured nerves",15629.61
"Foreign body in other body part","Fracture of face bone",3974.306
"Foreign body in other body part","Fracture of foot bone",3308.41
"Foreign body in other body part","Asphyxiation",9698.325
"Foreign body in other body part","Fracture of hand bone",30066.78
"Foreign body in other body part","Fracture of clavicle, scapula, or humerus",4449.06
"Foreign body in other body part","Dislocation of hip",378.042
"Foreign body in other body part","Fracture of radius or ulna",13654.33
"Foreign body in other body part","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",464.709
"Foreign body in other body part","Amputation of one upper limb",686.924
"Assault by firearm","Crush injury",187.838
"Assault by firearm","Dislocation of shoulder",55.321
"Assault by firearm","Poisoning",70336.84
"Assault by firearm","Burns with <20% total burned surface area",2185.204
"Assault by firearm","Asphyxiation",.3416
"Assault by firearm","Multiple significant injuries",201176.6
"Assault by firearm","Fracture of vertebral column",12066.91
"Assault by firearm","Fracture of clavicle, scapula, or humerus",8893.885
"Assault by firearm","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",60.704
"Assault by firearm","Fracture of femur, other than femoral neck",19496.08
"Assault by firearm","Environmental factors (e.g. temperature, pressure, electricity)",1490.419
"Assault by firearm","Injured nerves",5763.064
"Assault by firearm","Amputation of thumb",31.528
"Assault by firearm","Spinal cord lesion below neck level",419.755
"Assault by firearm","Amputation of finger (excluding thumb)",1660.064
"Assault by firearm","Fracture of radius or ulna",8817.767
"Assault by firearm","Amputation of toe",45.157
"Assault by firearm","Amputation of one upper limb",79.695
"Assault by firearm","Dislocation of hip",146.734
"Assault by firearm","Fracture of patella, tibia, fibula, or ankle",24677.01
"Assault by firearm","Amputation of both lower limbs",.126
"Assault by firearm","Fracture of skull",8653.547
"Assault by firearm","Minor traumatic brain injury",15613.1
"Assault by firearm","Injury to eyes (including foreign body eye)",14058.05
"Assault by firearm","Fracture of hand bone",9372.391
"Assault by firearm","Foreign body in gastrointestinal or urogenital system",231.714
"Assault by firearm","Superficial injury",172360.3
"Assault by firearm","Fracture of face bone",13420.42
"Assault by firearm","Non-fatal submersion",7.406
"Assault by firearm","Foreign body in ear",34.419
"Assault by firearm","Contusion",164764.3
"Assault by firearm","Lower airway burns",5.537
"Assault by firearm","Other injuries of muscle & tendon and other dislocations",35906.42
"Assault by firearm","Fracture of pelvis",6294.127
"Assault by firearm","Amputation of both upper limbs",19.481
"Assault by firearm","Fracture of sternum or rib(s)",92.148
"Assault by firearm","Moderate to severe traumatic brain injury",8854.986
"Assault by firearm","Fracture of neck of femur",752.913
"Assault by firearm","Complications of medical treatment",1630.482
"Assault by firearm","Foreign body in respiratory system",398.608
"Assault by firearm","Amputation of one lower limb",107.471
"Assault by firearm","Dislocation of knee",191.779
"Assault by firearm","Fracture of foot bone",7171.752
"Assault by firearm","Spinal cord lesion at neck level",445.683
"Assault by firearm","Severe chest Injury",10791.78
"Assault by firearm","Open wound",474312.3
"Assault by firearm","Internal hemorrhage in abdomen or pelvis",13455.59
"Assault by sharp object","Dislocation of hip",398.258
"Assault by sharp object","Fracture of face bone",4552.492
"Assault by sharp object","Injured nerves",4930.947
"Assault by sharp object","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",313.915
"Assault by sharp object","Amputation of thumb",3347.253
"Assault by sharp object","Asphyxiation",13.139
"Assault by sharp object","Fracture of pelvis",935.837
"Assault by sharp object","Amputation of finger (excluding thumb)",5392.317
"Assault by sharp object","Minor traumatic brain injury",6082.51
"Assault by sharp object","Fracture of femur, other than femoral neck",9774.38
"Assault by sharp object","Multiple significant injuries",195064.6
"Assault by sharp object","Severe chest Injury",16371.25
"Assault by sharp object","Fracture of vertebral column",2046.03
"Assault by sharp object","Environmental factors (e.g. temperature, pressure, electricity)",325.451
"Assault by sharp object","Injury to eyes (including foreign body eye)",40953.64
"Assault by sharp object","Contusion",94523.95
"Assault by sharp object","Amputation of both upper limbs",443.961
"Assault by sharp object","Amputation of toe",324.625
"Assault by sharp object","Superficial injury",217817.5
"Assault by sharp object","Fracture of sternum or rib(s)",411.971
"Assault by sharp object","Spinal cord lesion below neck level",2501.065
"Assault by sharp object","Fracture of clavicle, scapula, or humerus",21707.77
"Assault by sharp object","Amputation of both lower limbs",3.185
"Assault by sharp object","Open wound",1303562
"Assault by sharp object","Fracture of radius or ulna",6027.119
"Assault by sharp object","Foreign body in ear",477.785
"Assault by sharp object","Fracture of skull",6757.149
"Assault by sharp object","Amputation of one upper limb",544.474
"Assault by sharp object","Dislocation of shoulder",655.851
"Assault by sharp object","Non-fatal submersion",99.421
"Assault by sharp object","Crush injury",512.932
"Assault by sharp object","Dislocation of knee",333.746
"Assault by sharp object","Amputation of one lower limb",650.188
"Assault by sharp object","Fracture of foot bone",1226.75
"Assault by sharp object","Fracture of hand bone",9588.69
"Assault by sharp object","Other injuries of muscle & tendon and other dislocations",470305.3
"Assault by sharp object","Spinal cord lesion at neck level",173.845
"Assault by sharp object","Moderate to severe traumatic brain injury",7257.593
"Assault by sharp object","Complications of medical treatment",6775.594
"Assault by sharp object","Poisoning",12220.8
"Assault by sharp object","Burns with <20% total burned surface area",3090.584
"Assault by sharp object","Internal hemorrhage in abdomen or pelvis",25841.4
"Assault by sharp object","Foreign body in respiratory system",4717.09
"Assault by sharp object","Fracture of neck of femur",3605.084
"Assault by sharp object","Lower airway burns",6.167
"Assault by sharp object","Foreign body in gastrointestinal or urogenital system",1779.589
"Assault by sharp object","Fracture of patella, tibia, fibula, or ankle",10369.46
"Assault by other means","Asphyxiation",1228.192
"Assault by other means","Spinal cord lesion at neck level",857.7101
"Assault by other means","Injury to eyes (including foreign body eye)",435057.5
"Assault by other means","Fracture of vertebral column",81352.74
"Assault by other means","Fracture of patella, tibia, fibula, or ankle",83628.02
"Assault by other means","Fracture of face bone",105808.1
"Assault by other means","Spinal cord lesion below neck level",29766.36
"Assault by other means","Fracture of foot bone",9974.818
"Assault by other means","Injured nerves",13799.32
"Assault by other means","Multiple significant injuries",1588213
"Assault by other means","Environmental factors (e.g. temperature, pressure, electricity)",3009.265
"Assault by other means","Fracture of skull",53298.44
"Assault by other means","Fracture of clavicle, scapula, or humerus",147204.5
"Assault by other means","Superficial injury",1470805
"Assault by other means","Internal hemorrhage in abdomen or pelvis",31257.14
"Assault by other means","Amputation of finger (excluding thumb)",3812.144
"Assault by other means","Contusion",971217.9
"Assault by other means","Burns with <20% total burned surface area",73039.75
"Assault by other means","Foreign body in respiratory system",51206.89
"Assault by other means","Amputation of both lower limbs",4.774
"Assault by other means","Burns with >=20% total burned surface area or >=10% if burns include face and/or hands",5900.566
"Assault by other means","Dislocation of hip",1083.131
"Assault by other means","Open wound",3898248
"Assault by other means","Amputation of one upper limb",153.272
"Assault by other means","Amputation of one lower limb",2614.773
"Assault by other means","Fracture of hand bone",65979.97
"Assault by other means","Crush injury",1289.96
"Assault by other means","Poisoning",453362.3
"Assault by other means","Amputation of thumb",895.538
"Assault by other means","Fracture of neck of femur",48631.12
"Assault by other means","Moderate to severe traumatic brain injury",94618.58
"Assault by other means","Fracture of sternum or rib(s)",26711.83
"Assault by other means","Complications of medical treatment",25389.2
"Assault by other means","Amputation of both upper limbs",69.447
"Assault by other means","Non-fatal submersion",2601.424
"Assault by other means","Minor traumatic brain injury",173074.4
"Assault by other means","Dislocation of shoulder",10238.83
"Assault by other means","Dislocation of knee",849.142
"Assault by other means","Severe chest Injury",9506.979
"Assault by other means","Foreign body in gastrointestinal or urogenital system",6113.03
"Assault by other means","Fracture of radius or ulna",87985.95
"Assault by other means","Foreign body in ear",7743.273
"Assault by other means","Lower airway burns",103.796
"Assault by other means","Other injuries of muscle & tendon and other dislocations",1160947
"Assault by other means","Amputation of toe",317.548
"Assault by other means","Fracture of pelvis",11927.7
"Assault by other means","Fracture of femur, other than femoral neck",175888.4
