value,source,target
18.87166,"Other exposure to mechanical forces","Dislocation of knee"
.8012055,"Unintentional firearm injuries","Dislocation of knee"
2.180785,"Pulmonary aspiration and foreign body in airway","Dislocation of knee"
16.94988,"Motorcyclist road injuries","Dislocation of knee"
14.39097,"Other transport injuries","Dislocation of knee"
4.180777,"Venomous animal contact","Dislocation of knee"
10.10939,"Animal contact","Dislocation of knee"
33.33727,"Non-venomous animal contact","Dislocation of shoulder"
67.46764,"Exposure to mechanical forces","Dislocation of shoulder"
62.9933,"Other exposure to mechanical forces","Dislocation of shoulder"
3.888657,"Unintentional firearm injuries","Dislocation of shoulder"
21.81077,"Venomous animal contact","Dislocation of shoulder"
6.444356,"Interpersonal violence","Dislocation of shoulder"
21.84522,"Pedestrian road injuries by road vehicle","Dislocation of shoulder"
41.21906,"Fire, heat, and hot substances","Dislocation of shoulder"
.060419,"Foreign body in eyes","Dislocation of shoulder"
4.751581,"Assault by other means","Dislocation of shoulder"
77.0781,"Drowning","Dislocation of shoulder"
55.14803,"Animal contact","Dislocation of shoulder"
31.80075,"Other transport injuries","Dislocation of shoulder"
20.72388,"Other unintentional injuries","Dislocation of shoulder"
.5856754,"Unintentional suffocation","Dislocation of shoulder"
6.298335,"Other road injuries","Dislocation of shoulder"
1.548528,"Assault by sharp object","Dislocation of shoulder"
1.893327,"Self-harm","Dislocation of shoulder"
.1442474,"Assault by firearm","Dislocation of shoulder"
.1722681,"Foreign body in other body part","Dislocation of shoulder"
138.1364,"Road injuries","Dislocation of shoulder"
255.1963,"Falls","Dislocation of shoulder"
21.55536,"Cyclist road injuries","Dislocation of shoulder"
5.045479,"Pulmonary aspiration and foreign body in airway","Dislocation of shoulder"
2.849129,"Poisonings","Dislocation of shoulder"
57.0836,"Motorcyclist road injuries","Dislocation of shoulder"
31.35387,"Motor vehicle road injuries","Dislocation of shoulder"
.330996,"Poisonings","Other injuries of muscle & tendon and other dislocations"
1.895385,"Pulmonary aspiration and foreign body in airway","Other injuries of muscle & tendon and other dislocations"
47.44084,"Motorcyclist road injuries","Other injuries of muscle & tendon and other dislocations"
3.526048,"Assault by other means","Other injuries of muscle & tendon and other dislocations"
186.4637,"Exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
.6428757,"Unintentional suffocation","Other injuries of muscle & tendon and other dislocations"
9.742181,"Interpersonal violence","Other injuries of muscle & tendon and other dislocations"
4.102326,"Unintentional firearm injuries","Other injuries of muscle & tendon and other dislocations"
19.16499,"Fire, heat, and hot substances","Other injuries of muscle & tendon and other dislocations"
13.00375,"Non-venomous animal contact","Other injuries of muscle & tendon and other dislocations"
.1807306,"Foreign body in eyes","Other injuries of muscle & tendon and other dislocations"
2.647943,"Other road injuries","Other injuries of muscle & tendon and other dislocations"
26.81096,"Animal contact","Other injuries of muscle & tendon and other dislocations"
3.035354,"Foreign body in other body part","Other injuries of muscle & tendon and other dislocations"
10.71748,"Cyclist road injuries","Other injuries of muscle & tendon and other dislocations"
166.8758,"Falls","Other injuries of muscle & tendon and other dislocations"
35.7556,"Pedestrian road injuries by road vehicle","Other injuries of muscle & tendon and other dislocations"
20.26329,"Other unintentional injuries","Other injuries of muscle & tendon and other dislocations"
.668597,"Assault by firearm","Other injuries of muscle & tendon and other dislocations"
181.7185,"Other exposure to mechanical forces","Other injuries of muscle & tendon and other dislocations"
32.47721,"Motor vehicle road injuries","Other injuries of muscle & tendon and other dislocations"
11.90579,"Drowning","Other injuries of muscle & tendon and other dislocations"
13.80721,"Venomous animal contact","Other injuries of muscle & tendon and other dislocations"
14.13076,"Other transport injuries","Other injuries of muscle & tendon and other dislocations"
129.0391,"Road injuries","Other injuries of muscle & tendon and other dislocations"
5.547534,"Assault by sharp object","Other injuries of muscle & tendon and other dislocations"
3.685991,"Self-harm","Other injuries of muscle & tendon and other dislocations"
5.876496,"Animal contact","Fracture of clavicle, scapula, or humerus"
27.2327,"Cyclist road injuries","Fracture of clavicle, scapula, or humerus"
36.91181,"Other unintentional injuries","Fracture of clavicle, scapula, or humerus"
.0198955,"Foreign body in eyes","Fracture of clavicle, scapula, or humerus"
29.68764,"Motor vehicle road injuries","Fracture of clavicle, scapula, or humerus"
111.7428,"Road injuries","Fracture of clavicle, scapula, or humerus"
1.416797,"Unintentional suffocation","Fracture of clavicle, scapula, or humerus"
147.7353,"Other exposure to mechanical forces","Fracture of clavicle, scapula, or humerus"
2.643445,"Unintentional firearm injuries","Fracture of clavicle, scapula, or humerus"
6.832663,"Interpersonal violence","Fracture of clavicle, scapula, or humerus"
4.309136,"Assault by other means","Fracture of clavicle, scapula, or humerus"
3.397979,"Non-venomous animal contact","Fracture of clavicle, scapula, or humerus"
.1260731,"Foreign body in other body part","Fracture of clavicle, scapula, or humerus"
2.950743,"Other road injuries","Fracture of clavicle, scapula, or humerus"
.2091648,"Pulmonary aspiration and foreign body in airway","Fracture of clavicle, scapula, or humerus"
2.478517,"Venomous animal contact","Fracture of clavicle, scapula, or humerus"
.6733475,"Assault by firearm","Fracture of clavicle, scapula, or humerus"
140.2563,"Falls","Fracture of clavicle, scapula, or humerus"
1.850179,"Assault by sharp object","Fracture of clavicle, scapula, or humerus"
18.44796,"Pedestrian road injuries by road vehicle","Fracture of clavicle, scapula, or humerus"
4.36506,"Fire, heat, and hot substances","Fracture of clavicle, scapula, or humerus"
33.42378,"Motorcyclist road injuries","Fracture of clavicle, scapula, or humerus"
.2538641,"Self-harm","Fracture of clavicle, scapula, or humerus"
25.90756,"Other transport injuries","Fracture of clavicle, scapula, or humerus"
5.831933,"Drowning","Fracture of clavicle, scapula, or humerus"
151.7956,"Exposure to mechanical forces","Fracture of clavicle, scapula, or humerus"
.1250103,"Poisonings","Fracture of clavicle, scapula, or humerus"
.2707655,"Other road injuries","Fracture of face bone"
.2874019,"Assault by sharp object","Fracture of face bone"
1.793978,"Other unintentional injuries","Fracture of face bone"
.0248774,"Foreign body in eyes","Fracture of face bone"
.1831801,"Self-harm","Fracture of face bone"
4.45555,"Interpersonal violence","Fracture of face bone"
4.656616,"Pedestrian road injuries by road vehicle","Fracture of face bone"
19.9039,"Road injuries","Fracture of face bone"
.9746784,"Drowning","Fracture of face bone"
3.491625,"Animal contact","Fracture of face bone"
12.18028,"Exposure to mechanical forces","Fracture of face bone"
2.389933,"Cyclist road injuries","Fracture of face bone"
7.369614,"Motorcyclist road injuries","Fracture of face bone"
.0219925,"Unintentional suffocation","Fracture of face bone"
13.24231,"Falls","Fracture of face bone"
.6740123,"Venomous animal contact","Fracture of face bone"
2.301969,"Fire, heat, and hot substances","Fracture of face bone"
.276059,"Assault by firearm","Fracture of face bone"
3.892088,"Assault by other means","Fracture of face bone"
.0779495,"Pulmonary aspiration and foreign body in airway","Fracture of face bone"
.0478143,"Poisonings","Fracture of face bone"
.4829847,"Unintentional firearm injuries","Fracture of face bone"
.2041717,"Foreign body in other body part","Fracture of face bone"
2.817614,"Non-venomous animal contact","Fracture of face bone"
5.35092,"Other transport injuries","Fracture of face bone"
11.6753,"Other exposure to mechanical forces","Fracture of face bone"
5.216972,"Motor vehicle road injuries","Fracture of face bone"
74.47746,"Exposure to mechanical forces","Fracture of foot bone"
15.76593,"Motor vehicle road injuries","Fracture of foot bone"
.1324505,"Foreign body in eyes","Fracture of foot bone"
109.3612,"Falls","Fracture of foot bone"
4.104633,"Unintentional firearm injuries","Fracture of foot bone"
.6878297,"Foreign body in other body part","Fracture of foot bone"
1.383857,"Assault by other means","Fracture of foot bone"
70.22238,"Other exposure to mechanical forces","Fracture of foot bone"
3.366555,"Interpersonal violence","Fracture of foot bone"
83.88947,"Road injuries","Fracture of foot bone"
3.072545,"Venomous animal contact","Fracture of foot bone"
.2400869,"Pulmonary aspiration and foreign body in airway","Fracture of foot bone"
.8766522,"Assault by sharp object","Fracture of foot bone"
39.58593,"Motorcyclist road injuries","Fracture of foot bone"
.1240484,"Poisonings","Fracture of foot bone"
.1504524,"Unintentional suffocation","Fracture of foot bone"
7.820827,"Animal contact","Fracture of foot bone"
4.808537,"Cyclist road injuries","Fracture of foot bone"
1.106046,"Assault by firearm","Fracture of foot bone"
22.51709,"Pedestrian road injuries by road vehicle","Fracture of foot bone"
1.211973,"Other road injuries","Fracture of foot bone"
7.785283,"Fire, heat, and hot substances","Fracture of foot bone"
14.28243,"Other unintentional injuries","Fracture of foot bone"
1.109476,"Self-harm","Fracture of foot bone"
8.686432,"Drowning","Fracture of foot bone"
17.64735,"Other transport injuries","Fracture of foot bone"
4.748282,"Non-venomous animal contact","Fracture of foot bone"
46.67003,"Motor vehicle road injuries","Fracture of hand bone"
8.299621,"Drowning","Fracture of hand bone"
25.93619,"Pedestrian road injuries by road vehicle","Fracture of hand bone"
202.5087,"Falls","Fracture of hand bone"
52.7209,"Motorcyclist road injuries","Fracture of hand bone"
2.44137,"Other road injuries","Fracture of hand bone"
5.693641,"Assault by sharp object","Fracture of hand bone"
33.76963,"Cyclist road injuries","Fracture of hand bone"
20.92785,"Unintentional firearm injuries","Fracture of hand bone"
.150168,"Foreign body in eyes","Fracture of hand bone"
.455417,"Pulmonary aspiration and foreign body in airway","Fracture of hand bone"
32.04409,"Assault by other means","Fracture of hand bone"
213.9637,"Other unintentional injuries","Fracture of hand bone"
2.673061,"Assault by firearm","Fracture of hand bone"
3.21335,"Self-harm","Fracture of hand bone"
1837.202,"Other exposure to mechanical forces","Fracture of hand bone"
121.0375,"Other transport injuries","Fracture of hand bone"
16.82678,"Fire, heat, and hot substances","Fracture of hand bone"
161.5381,"Road injuries","Fracture of hand bone"
.2344464,"Poisonings","Fracture of hand bone"
8.219119,"Unintentional suffocation","Fracture of hand bone"
40.41079,"Interpersonal violence","Fracture of hand bone"
19.43222,"Non-venomous animal contact","Fracture of hand bone"
10.05967,"Venomous animal contact","Fracture of hand bone"
1866.349,"Exposure to mechanical forces","Fracture of hand bone"
4.257478,"Foreign body in other body part","Fracture of hand bone"
29.49188,"Animal contact","Fracture of hand bone"
66.24347,"Other road injuries","Fracture of neck of femur"
481.0329,"Pedestrian road injuries by road vehicle","Fracture of neck of femur"
47.47741,"Animal contact","Fracture of neck of femur"
18.87333,"Non-venomous animal contact","Fracture of neck of femur"
65.21951,"Fire, heat, and hot substances","Fracture of neck of femur"
5.840153,"Foreign body in other body part","Fracture of neck of femur"
7.609773,"Self-harm","Fracture of neck of femur"
632.6062,"Drowning","Fracture of neck of femur"
65.40192,"Other unintentional injuries","Fracture of neck of femur"
1619.67,"Falls","Fracture of neck of femur"
3.880821,"Foreign body in eyes","Fracture of neck of femur"
24.0402,"Pulmonary aspiration and foreign body in airway","Fracture of neck of femur"
28.60407,"Venomous animal contact","Fracture of neck of femur"
4.631513,"Poisonings","Fracture of neck of femur"
229.1627,"Other transport injuries","Fracture of neck of femur"
16.43006,"Assault by firearm","Fracture of neck of femur"
119.3581,"Cyclist road injuries","Fracture of neck of femur"
25.23519,"Assault by other means","Fracture of neck of femur"
323.2257,"Exposure to mechanical forces","Fracture of neck of femur"
101.988,"Unintentional firearm injuries","Fracture of neck of femur"
8.499431,"Assault by sharp object","Fracture of neck of femur"
2.064137,"Unintentional suffocation","Fracture of neck of femur"
467.8665,"Motorcyclist road injuries","Fracture of neck of femur"
219.1736,"Other exposure to mechanical forces","Fracture of neck of femur"
50.16468,"Interpersonal violence","Fracture of neck of femur"
1670.504,"Road injuries","Fracture of neck of femur"
536.0034,"Motor vehicle road injuries","Fracture of neck of femur"
854.3368,"Motorcyclist road injuries","Fracture of patella, tibia, fibula, or ankle"
1963.932,"Other exposure to mechanical forces","Fracture of patella, tibia, fibula, or ankle"
88.46357,"Fire, heat, and hot substances","Fracture of patella, tibia, fibula, or ankle"
3.592946,"Poisonings","Fracture of patella, tibia, fibula, or ankle"
2005.937,"Falls","Fracture of patella, tibia, fibula, or ankle"
1.184886,"Foreign body in eyes","Fracture of patella, tibia, fibula, or ankle"
42.3462,"Unintentional suffocation","Fracture of patella, tibia, fibula, or ankle"
120.9747,"Non-venomous animal contact","Fracture of patella, tibia, fibula, or ankle"
694.9124,"Other unintentional injuries","Fracture of patella, tibia, fibula, or ankle"
23.90085,"Assault by sharp object","Fracture of patella, tibia, fibula, or ankle"
2099.46,"Exposure to mechanical forces","Fracture of patella, tibia, fibula, or ankle"
94.29775,"Drowning","Fracture of patella, tibia, fibula, or ankle"
1.83877,"Pulmonary aspiration and foreign body in airway","Fracture of patella, tibia, fibula, or ankle"
55.50851,"Other road injuries","Fracture of patella, tibia, fibula, or ankle"
703.9728,"Pedestrian road injuries by road vehicle","Fracture of patella, tibia, fibula, or ankle"
159.405,"Animal contact","Fracture of patella, tibia, fibula, or ankle"
93.18182,"Unintentional firearm injuries","Fracture of patella, tibia, fibula, or ankle"
147.3728,"Interpersonal violence","Fracture of patella, tibia, fibula, or ankle"
38.43034,"Venomous animal contact","Fracture of patella, tibia, fibula, or ankle"
42.80462,"Assault by firearm","Fracture of patella, tibia, fibula, or ankle"
938.8351,"Other transport injuries","Fracture of patella, tibia, fibula, or ankle"
7.143051,"Foreign body in other body part","Fracture of patella, tibia, fibula, or ankle"
1232.033,"Motor vehicle road injuries","Fracture of patella, tibia, fibula, or ankle"
80.66738,"Assault by other means","Fracture of patella, tibia, fibula, or ankle"
404.8628,"Cyclist road injuries","Fracture of patella, tibia, fibula, or ankle"
9.653974,"Self-harm","Fracture of patella, tibia, fibula, or ankle"
3250.713,"Road injuries","Fracture of patella, tibia, fibula, or ankle"
295.9255,"Exposure to mechanical forces","Fracture of pelvis"
2.497911,"Unintentional suffocation","Fracture of pelvis"
80.23327,"Motorcyclist road injuries","Fracture of pelvis"
1.510199,"Assault by sharp object","Fracture of pelvis"
25.14632,"Cyclist road injuries","Fracture of pelvis"
.4423177,"Poisonings","Fracture of pelvis"
14.66443,"Animal contact","Fracture of pelvis"
3.450099,"Assault by firearm","Fracture of pelvis"
214.981,"Motor vehicle road injuries","Fracture of pelvis"
16.93616,"Unintentional firearm injuries","Fracture of pelvis"
8.91393,"Non-venomous animal contact","Fracture of pelvis"
5.750498,"Venomous animal contact","Fracture of pelvis"
95.64462,"Pedestrian road injuries by road vehicle","Fracture of pelvis"
1.164926,"Self-harm","Fracture of pelvis"
10.25867,"Fire, heat, and hot substances","Fracture of pelvis"
173.8127,"Other transport injuries","Fracture of pelvis"
.1413317,"Foreign body in eyes","Fracture of pelvis"
130.2433,"Falls","Fracture of pelvis"
96.17529,"Other unintentional injuries","Fracture of pelvis"
421.0071,"Road injuries","Fracture of pelvis"
9.927574,"Drowning","Fracture of pelvis"
5.002005,"Other road injuries","Fracture of pelvis"
12.40393,"Interpersonal violence","Fracture of pelvis"
7.443637,"Assault by other means","Fracture of pelvis"
276.4915,"Other exposure to mechanical forces","Fracture of pelvis"
.3576579,"Foreign body in other body part","Fracture of pelvis"
.5326651,"Pulmonary aspiration and foreign body in airway","Fracture of pelvis"
1.437203,"Assault by sharp object","Fracture of radius or ulna"
2.423537,"Assault by firearm","Fracture of radius or ulna"
64.95786,"Other exposure to mechanical forces","Fracture of radius or ulna"
36.39713,"Cyclist road injuries","Fracture of radius or ulna"
12.37045,"Pedestrian road injuries by road vehicle","Fracture of radius or ulna"
250.4039,"Falls","Fracture of radius or ulna"
103.7126,"Road injuries","Fracture of radius or ulna"
.2446807,"Self-harm","Fracture of radius or ulna"
.518158,"Venomous animal contact","Fracture of radius or ulna"
1.859852,"Unintentional firearm injuries","Fracture of radius or ulna"
.0761834,"Poisonings","Fracture of radius or ulna"
1.480802,"Fire, heat, and hot substances","Fracture of radius or ulna"
57.78433,"Other transport injuries","Fracture of radius or ulna"
1.12983,"Drowning","Fracture of radius or ulna"
32.99497,"Motor vehicle road injuries","Fracture of radius or ulna"
2.95606,"Animal contact","Fracture of radius or ulna"
6.454869,"Other road injuries","Fracture of radius or ulna"
.5238243,"Foreign body in other body part","Fracture of radius or ulna"
5.548698,"Assault by other means","Fracture of radius or ulna"
2.437902,"Non-venomous animal contact","Fracture of radius or ulna"
.2111863,"Pulmonary aspiration and foreign body in airway","Fracture of radius or ulna"
9.409436,"Interpersonal violence","Fracture of radius or ulna"
2.007938,"Unintentional suffocation","Fracture of radius or ulna"
32.79234,"Other unintentional injuries","Fracture of radius or ulna"
.0247376,"Foreign body in eyes","Fracture of radius or ulna"
15.49516,"Motorcyclist road injuries","Fracture of radius or ulna"
68.82565,"Exposure to mechanical forces","Fracture of radius or ulna"
.1423071,"Pulmonary aspiration and foreign body in airway","Fracture of skull"
80.99463,"Other transport injuries","Fracture of skull"
129.2645,"Motor vehicle road injuries","Fracture of skull"
6.756844,"Assault by firearm","Fracture of skull"
25.6669,"Cyclist road injuries","Fracture of skull"
440.4893,"Road injuries","Fracture of skull"
161.9489,"Pedestrian road injuries by road vehicle","Fracture of skull"
3.94524,"Other road injuries","Fracture of skull"
6.482635,"Fire, heat, and hot substances","Fracture of skull"
119.6638,"Motorcyclist road injuries","Fracture of skull"
316.9776,"Other exposure to mechanical forces","Fracture of skull"
61.97263,"Interpersonal violence","Fracture of skull"
334.4182,"Exposure to mechanical forces","Fracture of skull"
15.23674,"Animal contact","Fracture of skull"
12.4635,"Non-venomous animal contact","Fracture of skull"
7.737269,"Unintentional suffocation","Fracture of skull"
3.346073,"Foreign body in other body part","Fracture of skull"
1.327242,"Self-harm","Fracture of skull"
9.86803,"Assault by sharp object","Fracture of skull"
47.09474,"Other unintentional injuries","Fracture of skull"
.1707235,"Poisonings","Fracture of skull"
9.703273,"Unintentional firearm injuries","Fracture of skull"
.6678436,"Drowning","Fracture of skull"
45.34775,"Assault by other means","Fracture of skull"
.8733172,"Foreign body in eyes","Fracture of skull"
2.77324,"Venomous animal contact","Fracture of skull"
328.5647,"Falls","Fracture of skull"
.1026994,"Assault by other means","Fracture of sternum or rib(s)"
1.113018,"Other exposure to mechanical forces","Fracture of sternum or rib(s)"
.0000588,"Foreign body in eyes","Fracture of sternum or rib(s)"
2.483164,"Road injuries","Fracture of sternum or rib(s)"
.1473196,"Motorcyclist road injuries","Fracture of sternum or rib(s)"
.0058676,"Drowning","Fracture of sternum or rib(s)"
1.130325,"Exposure to mechanical forces","Fracture of sternum or rib(s)"
.5400944,"Cyclist road injuries","Fracture of sternum or rib(s)"
.597104,"Other transport injuries","Fracture of sternum or rib(s)"
.4654198,"Other unintentional injuries","Fracture of sternum or rib(s)"
.0063143,"Assault by sharp object","Fracture of sternum or rib(s)"
.0006419,"Venomous animal contact","Fracture of sternum or rib(s)"
.001562,"Pulmonary aspiration and foreign body in airway","Fracture of sternum or rib(s)"
.0004315,"Assault by firearm","Fracture of sternum or rib(s)"
.0041544,"Fire, heat, and hot substances","Fracture of sternum or rib(s)"
.1094452,"Interpersonal violence","Fracture of sternum or rib(s)"
1.504349,"Motor vehicle road injuries","Fracture of sternum or rib(s)"
.0115597,"Unintentional firearm injuries","Fracture of sternum or rib(s)"
.0670342,"Animal contact","Fracture of sternum or rib(s)"
.2339548,"Pedestrian road injuries by road vehicle","Fracture of sternum or rib(s)"
.0012205,"Self-harm","Fracture of sternum or rib(s)"
.0574455,"Other road injuries","Fracture of sternum or rib(s)"
.0003508,"Foreign body in other body part","Fracture of sternum or rib(s)"
.0001768,"Poisonings","Fracture of sternum or rib(s)"
.0663923,"Non-venomous animal contact","Fracture of sternum or rib(s)"
.0057474,"Unintentional suffocation","Fracture of sternum or rib(s)"
4.30588,"Falls","Fracture of sternum or rib(s)"
3.062514,"Self-harm","Fracture of vertebral column"
253.6151,"Cyclist road injuries","Fracture of vertebral column"
22.79626,"Non-venomous animal contact","Fracture of vertebral column"
863.2394,"Road injuries","Fracture of vertebral column"
5.982286,"Other road injuries","Fracture of vertebral column"
596.1002,"Falls","Fracture of vertebral column"
.5971082,"Poisonings","Fracture of vertebral column"
15.01258,"Drowning","Fracture of vertebral column"
23.22809,"Assault by other means","Fracture of vertebral column"
301.4753,"Motor vehicle road injuries","Fracture of vertebral column"
26.28299,"Animal contact","Fracture of vertebral column"
1147.555,"Other exposure to mechanical forces","Fracture of vertebral column"
70.62627,"Unintentional firearm injuries","Fracture of vertebral column"
211.433,"Pedestrian road injuries by road vehicle","Fracture of vertebral column"
40.47038,"Interpersonal violence","Fracture of vertebral column"
4.594121,"Assault by sharp object","Fracture of vertebral column"
12.64817,"Assault by firearm","Fracture of vertebral column"
1249.887,"Exposure to mechanical forces","Fracture of vertebral column"
.313352,"Foreign body in eyes","Fracture of vertebral column"
90.73359,"Motorcyclist road injuries","Fracture of vertebral column"
271.3002,"Other transport injuries","Fracture of vertebral column"
2.026204,"Foreign body in other body part","Fracture of vertebral column"
1162.311,"Other unintentional injuries","Fracture of vertebral column"
31.06405,"Fire, heat, and hot substances","Fracture of vertebral column"
31.70496,"Unintentional suffocation","Fracture of vertebral column"
1.23865,"Pulmonary aspiration and foreign body in airway","Fracture of vertebral column"
3.486725,"Venomous animal contact","Fracture of vertebral column"
8.232762,"Foreign body in other body part","Fracture of femur, other than femoral neck"
1421.737,"Exposure to mechanical forces","Fracture of femur, other than femoral neck"
307.9256,"Pedestrian road injuries by road vehicle","Fracture of femur, other than femoral neck"
1.478223,"Pulmonary aspiration and foreign body in airway","Fracture of femur, other than femoral neck"
50.76065,"Non-venomous animal contact","Fracture of femur, other than femoral neck"
66.64515,"Animal contact","Fracture of femur, other than femoral neck"
11.15401,"Assault by sharp object","Fracture of femur, other than femoral neck"
350.5558,"Motorcyclist road injuries","Fracture of femur, other than femoral neck"
720.4073,"Falls","Fracture of femur, other than femoral neck"
200.4838,"Other unintentional injuries","Fracture of femur, other than femoral neck"
12.1036,"Assault by firearm","Fracture of femur, other than femoral neck"
12.20797,"Other road injuries","Fracture of femur, other than femoral neck"
73.28628,"Cyclist road injuries","Fracture of femur, other than femoral neck"
36.44401,"Fire, heat, and hot substances","Fracture of femur, other than femoral neck"
13.3201,"Unintentional suffocation","Fracture of femur, other than femoral neck"
1324.664,"Road injuries","Fracture of femur, other than femoral neck"
15.8845,"Venomous animal contact","Fracture of femur, other than femoral neck"
37.91175,"Drowning","Fracture of femur, other than femoral neck"
2.721593,"Self-harm","Fracture of femur, other than femoral neck"
47.76962,"Assault by other means","Fracture of femur, other than femoral neck"
155.611,"Other transport injuries","Fracture of femur, other than femoral neck"
71.02722,"Interpersonal violence","Fracture of femur, other than femoral neck"
.4330372,"Foreign body in eyes","Fracture of femur, other than femoral neck"
.7252679,"Poisonings","Fracture of femur, other than femoral neck"
580.6884,"Motor vehicle road injuries","Fracture of femur, other than femoral neck"
1363.942,"Other exposure to mechanical forces","Fracture of femur, other than femoral neck"
44.47527,"Unintentional firearm injuries","Fracture of femur, other than femoral neck"
45.65937,"Assault by other means","Minor traumatic brain injury"
66.23302,"Other transport injuries","Minor traumatic brain injury"
4.221429,"Venomous animal contact","Minor traumatic brain injury"
340.4093,"Road injuries","Minor traumatic brain injury"
.1865779,"Foreign body in eyes","Minor traumatic brain injury"
4.892685,"Drowning","Minor traumatic brain injury"
68.92582,"Pedestrian road injuries by road vehicle","Minor traumatic brain injury"
3.807849,"Assault by firearm","Minor traumatic brain injury"
1.691041,"Unintentional suffocation","Minor traumatic brain injury"
270.1467,"Other exposure to mechanical forces","Minor traumatic brain injury"
.5978653,"Poisonings","Minor traumatic brain injury"
158.1456,"Falls","Minor traumatic brain injury"
11.34939,"Non-venomous animal contact","Minor traumatic brain injury"
4.745364,"Unintentional firearm injuries","Minor traumatic brain injury"
42.92483,"Other unintentional injuries","Minor traumatic brain injury"
.2847027,"Pulmonary aspiration and foreign body in airway","Minor traumatic brain injury"
3.299901,"Assault by sharp object","Minor traumatic brain injury"
3.905816,"Other road injuries","Minor traumatic brain injury"
157.9708,"Motor vehicle road injuries","Minor traumatic brain injury"
.5166346,"Foreign body in other body part","Minor traumatic brain injury"
52.76712,"Interpersonal violence","Minor traumatic brain injury"
10.36666,"Fire, heat, and hot substances","Minor traumatic brain injury"
15.57082,"Animal contact","Minor traumatic brain injury"
54.2043,"Motorcyclist road injuries","Minor traumatic brain injury"
1.178066,"Self-harm","Minor traumatic brain injury"
55.4026,"Cyclist road injuries","Minor traumatic brain injury"
276.583,"Exposure to mechanical forces","Minor traumatic brain injury"
82.43533,"Assault by other means","Moderate to severe traumatic brain injury"
2.607552,"Foreign body in eyes","Moderate to severe traumatic brain injury"
1733.674,"Road injuries","Moderate to severe traumatic brain injury"
577.3733,"Motor vehicle road injuries","Moderate to severe traumatic brain injury"
78.42812,"Animal contact","Moderate to severe traumatic brain injury"
30.94174,"Other road injuries","Moderate to severe traumatic brain injury"
480.405,"Pedestrian road injuries by road vehicle","Moderate to severe traumatic brain injury"
99.31232,"Interpersonal violence","Moderate to severe traumatic brain injury"
8.685744,"Self-harm","Moderate to severe traumatic brain injury"
453.4803,"Motorcyclist road injuries","Moderate to severe traumatic brain injury"
57.11506,"Other unintentional injuries","Moderate to severe traumatic brain injury"
351.7529,"Other exposure to mechanical forces","Moderate to severe traumatic brain injury"
191.4734,"Cyclist road injuries","Moderate to severe traumatic brain injury"
18.12574,"Venomous animal contact","Moderate to severe traumatic brain injury"
10.42426,"Unintentional suffocation","Moderate to severe traumatic brain injury"
12.21911,"Unintentional firearm injuries","Moderate to severe traumatic brain injury"
2.119759,"Foreign body in other body part","Moderate to severe traumatic brain injury"
4.992297,"Assault by firearm","Moderate to severe traumatic brain injury"
